"","Img","MeasDate","MeasTime","Tube","Location","PxSizeH","PxSizeV","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","Crop","RepSet","AnyRootsRef","AnyRootsLog","AnyRootsTrace","Subject","Frame","RinC","ImgID"
"298","CONSISTEST_T001_L050_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,50,0.023952,0.024775,17.8455,4.8485,15.2321,2.7169,1.168,2,15.8069,4.2245,13.2717,2.6726,1.018,1,2.0387,0.624,1.9604,3.0609,0.15,1,0,0,0,0,0,0,10,0,0,4.4814,0.4839,1.0867,2.4976,6.31,2.986,0,0,0,0,1.7254,0.2708,0.7682,2.1758,6.7023,3.5895,0,0,0,0,0.5492,0.0862,0.2445,0.6926,2.1334,1.1426,0,0,0,0,0.0529,0.0121,0.0432,0.1512,0.5668,0.3436,0,0,0,0,0,1,0,0,0,0,0,0,"Misc",4,"y","y","y","WAM","50","1","40"
"303","CONSISTEST_T001_L055_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,55,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","WAM","55","1","55"
"305","CONSISTEST_T001_L057_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,57,0.023952,0.024775,27.5875,5.1128,16.0623,1.8533,1.064,8,27.5875,5.1128,16.0623,1.8533,1.064,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.2124,7.5348,3.4914,5.3218,0,0,0.0865,0.4244,2.5163,0,2.5143,3.1116,2.0037,3.6202,0,0,0.1073,0.5667,4.1386,0,0.8003,0.9905,0.6378,1.1523,0,0,0.0341,0.1804,1.3173,0,0.0613,0.1031,0.0918,0.1963,0,0,0.0106,0.0602,0.5424,0,2,3,1,1,0,0,1,0,0,"Switch",8,"y","y","y","WAM","57","2","8"
"307","CONSISTEST_T001_L059_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,59,0.023952,0.024775,26.9504,5.2381,16.456,1.9436,0.991,8,26.9504,5.2381,16.456,1.9436,0.991,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2.796,12.1625,0.5225,8.2455,0,0.0961,0.7498,2.3779,0,0,0.7093,5.3345,0.2799,5.9289,0,0.1043,0.8965,3.2027,0,0,0.2258,1.698,0.0891,1.8872,0,0.0332,0.2854,1.0194,0,0,0.0144,0.1875,0.0119,0.3401,0,0.009,0.0854,0.3434,0,0,1,4,1,1,0,1,0,0,0,"Switch",8,"y","y","y","WAM","59","2","8"
"309","CONSISTEST_T001_L061_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,61,0.023952,0.024775,22.7445,2.3107,7.2591,1.0159,0.284,8,22.7445,2.3107,7.2591,1.0159,0.284,8,0,0,0,0,0,0,0,0,0,0,0,0,10,9.7699,6.4633,2.5361,0.8092,0.9079,2.2582,0,0,0,0,1.4392,1.6438,1.0975,0.4456,0.6417,1.9912,0,0,0,0,0.4581,0.5232,0.3493,0.1419,0.2043,0.6338,0,0,0,0,0.0172,0.034,0.0379,0.0196,0.0361,0.1399,0,0,0,0,4,1,3,0,0,0,0,0,0,0,"Prairie",11,"y","y","y","WAM","61","2","5"
"313","CONSISTEST_T001_L065_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,65,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","WAM","65","1","55"
"315","CONSISTEST_T001_L067_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,67,0.023952,0.024775,92.0677,39.3394,123.5882,4.2729,17.609,13,92.0677,39.3394,123.5882,4.2729,17.609,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2.3183,1.7347,4.8034,12.2302,15.7147,9.6124,17.4211,8.2852,19.9476,0,0.7098,0.7969,2.9085,8.9944,14.0382,10.2186,20.5875,11.2216,54.1127,0,0.2259,0.2537,0.9258,2.863,4.4685,3.2527,6.5532,3.5719,17.2246,0,0.0173,0.0291,0.1403,0.5281,0.9995,0.8649,1.9381,1.2102,11.8948,0,1,1,3,0,2,2,1,2,1,"Corn",2,"y","y","y","WAM","67","2","10"
"318","CONSISTEST_T001_L070_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,70,0.023952,0.024775,12.5559,2.5581,8.0365,2.0374,0.483,5,12.5559,2.5581,8.0365,2.0374,0.483,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6556,1.6817,1.8859,0.2871,1.2853,6.7603,0,0,0,0,0.1005,0.3522,0.7217,0.1781,0.8621,5.8219,0,0,0,0,0.032,0.1121,0.2297,0.0567,0.2744,1.8532,0,0,0,0,0.0012,0.0059,0.022,0.0088,0.0461,0.3996,0,0,0,0,1,0,2,1,0,1,0,0,0,0,"Misc",5,"y","y","y","WAM","70","2","12"
"322","CONSISTEST_T001_L074_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,74,0.023952,0.024775,25.8953,5.9185,18.5935,2.2855,1.102,4,25.8953,5.9185,18.5935,2.2855,1.102,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9.4106,11.529,3.2507,0.4661,1.2391,0,0,0,0,0,5.7146,8.2204,2.6884,0.4759,1.4942,0,0,0,0,0,1.819,2.6166,0.8557,0.1515,0.4756,0,0,0,0,0,0.2764,0.4676,0.1771,0.0387,0.1435,0,0,0,0,0,3,1,0,0,0,0,0,"Prairie",10,"y","y","y","WAM","74","1","74"
"329","CONSISTEST_T001_L081_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,81,0.023952,0.024775,19.2879,4.8978,15.3868,2.5393,0.986,3,19.2879,4.8978,15.3868,2.5393,0.986,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12.0111,5.5466,1.7302,0,0,0,0,0,0,0,9.0086,4.6647,1.7135,0,0,0,0,0,0,0,2.8675,1.4848,0.5454,0,0,0,0,0,0,0,0.5386,0.3123,0.1351,0,0,0,0,0,0,0,2,1,0,0,0,0,"Prairie",10,"y","y","y","WAM","81","1","74"
"335","CONSISTEST_T001_L087_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,87,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",3,"y","n","n","WAM","87","3","36"
"338","CONSISTEST_T001_L090_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,90,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",6,"y","n","n","WAM","90","3","43"
"340","CONSISTEST_T001_L092_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,92,0.023952,0.024775,3.6945,0.7169,2.2521,1.9404,0.117,2,3.6945,0.7169,2.2521,1.9404,0.117,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0244,0.4784,2.0387,0,1.153,0,0,0,0,0,0.0076,0.1879,1.086,0,0.9708,0,0,0,0,0,0.0024,0.0598,0.3457,0,0.309,0,0,0,0,0,2e-04,0.0059,0.046,0,0.065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Switch",7,"y","y","y","WAM","92","1","92"
"344","CONSISTEST_T001_L096_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,96,0.023952,0.024775,12.5729,5.1482,16.1737,4.0947,1.659,1,12.5729,5.1482,16.1737,4.0947,1.659,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4.0003,7.8476,0.7249,0,0,0,0,0,0,0,4.8413,10.2929,1.0395,0,0,0,0,0,0,0,1.541,3.2763,0.3309,0,0,0,0,0,0,0,0.4663,1.0747,0.1186,0,0,0,0,0,0,0,0,1,0,"Prairie",12,"y","y","y","WAM","96","3","28"
"345","CONSISTEST_T001_L097_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,97,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","WAM","97","1","55"
"346","CONSISTEST_T001_L098_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,98,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",3,"y","n","n","WAM","98","3","36"
"347","CONSISTEST_T001_L099_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,99,0.023952,0.024775,3.796,1.4187,4.4571,3.7375,0.425,2,3.796,1.4187,4.4571,3.7375,0.425,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2.3103,0,1.4857,0,0,0,0,0,0,0,2.4102,0,2.0469,0,0,0,0,0,0,0,0.7672,0,0.6515,0,0,0,0,0,0,0,0.2001,0,0.2244,0,0,0,0,0,0,0,1,0,1,0,"Switch",9,"y","y","y","WAM","99","3","29"
"354","CONSISTEST_T002_L006_2011.06.06_155541_001_CKB.jpg","6/13/2011","14:26:17",2,6,0.023952,0.024775,1.1604,0.2753,0.8648,2.3724,0.051,1,1.1604,0.2753,0.8648,2.3724,0.051,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1.1604,0,0,0,0,0,0,0,0,0,0.8648,0,0,0,0,0,0,0,0,0,0.2753,0,0,0,0,0,0,0,0,0,0.0513,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Switch",7,"y","y","y","WAM","106","1","92"
"355","CONSISTEST_T002_L007_2011.06.06_155541_001_CKB.jpg","6/13/2011","14:26:17",2,7,0.023952,0.024775,84.0961,36.151,113.5716,4.2988,15.182,15,84.0961,36.151,113.5716,4.2988,15.182,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.988,0,0.0803,13.1642,2.9682,16.6918,17.4844,11.452,20.2672,0,0.4565,0,0.0498,9.5835,2.66,16.7144,21.1551,15.2205,47.7318,0,0.1453,0,0.0159,3.0505,0.8467,5.3203,6.7339,4.8448,15.1935,0,0.0083,0,0.0025,0.5567,0.1899,1.3327,2.0382,1.6109,9.4572,0,1,0,1,4,1,3,2,1,2,"Corn",2,"y","y","y","WAM","107","2","10"
"360","CONSISTEST_T002_L012_2011.06.06_155541_001_CKB.jpg","6/13/2011","14:26:17",2,12,0.023952,0.024775,28.0337,6.8006,21.3646,2.4259,1.365,4,28.0337,6.8006,21.3646,2.4259,1.365,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12.132,6.0017,6.7675,0.9528,2.1797,0,0,0,0,0,7.3816,4.4784,5.9099,0.9728,2.6219,0,0,0,0,0,2.3497,1.4255,1.8812,0.3097,0.8346,0,0,0,0,0,0.3575,0.2664,0.4118,0.079,0.2511,0,0,0,0,0,3,1,0,0,0,0,0,"Prairie",10,"y","y","y","WAM","112","1","74"
"363","CONSISTEST_T002_L015_2011.06.06_155541_001_CKB.jpg","6/13/2011","14:26:17",2,15,0.023952,0.024775,1.083,0.3018,0.9483,2.7872,0.066,1,1.083,0.3018,0.9483,2.7872,0.066,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.0792,1.0038,0,0,0,0,0,0,0,0,0.0614,0.8869,0,0,0,0,0,0,0,0,0.0196,0.2823,0,0,0,0,0,0,0,0,0.0038,0.0624,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Switch",7,"y","y","y","WAM","115","1","92"
"367","CONSISTEST_T002_L019_2011.06.06_155541_001_CKB.jpg","6/13/2011","14:26:17",2,19,0.023952,0.024775,17.9483,5.3326,16.7529,2.9711,1.369,2,17.9483,5.3326,16.7529,2.9711,1.369,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3.82,1.6038,0.3176,0.3176,5.6197,4.1421,1.7361,0.3914,0,0,1.7544,0.8654,0.2245,0.2743,6.0121,4.7697,2.2612,0.5913,0,0,0.5584,0.2755,0.0715,0.0873,1.9137,1.5182,0.7197,0.1882,0,0,0.0641,0.0372,0.0126,0.0189,0.5119,0.4374,0.2344,0.0711,0,0,0,1,0,0,1,0,0,0,"Misc",4,"y","y","y","WAM","119","1","40"
"372","CONSISTEST_T002_L024_2011.06.06_155541_001_CKB.jpg","6/13/2011","14:26:17",2,24,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",6,"y","n","n","WAM","124","3","43"
"377","CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,5,0.025532,0.02537,34.7819,7.9668,25.0285,2.2905,2.839,4,34.7819,7.9668,25.0285,2.2905,2.839,4,0,0,0,0,0,0,0,0,0,0,0,0,10,14.5435,1.6169,1.6169,1.6169,4.4142,0.4331,0.4331,0.4331,2.2345,7.4396,1.1935,0.381,0.635,0.889,3.1396,0.3742,0.4422,0.5102,2.8727,14.5912,0.3799,0.1213,0.2021,0.283,0.9994,0.1191,0.1408,0.1624,0.9144,4.6445,0.0079,0.0071,0.0198,0.0389,0.1778,0.0257,0.0359,0.0478,0.2939,2.283,2,0,0,0,1,0,0,0,0,1,"Prairie",11,"y","n","y","LF","5","2","5"
"380","CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,8,0.025532,0.02537,27.5323,1.0422,3.2743,0.3785,0.055,8,27.5323,1.0422,3.2743,0.3785,0.055,8,0,0,0,0,0,0,0,0,0,0,0,0,10,24.5822,0.8238,0.8238,0.8238,0.4788,0,0,0,0,0,1.9811,0.1941,0.3235,0.4529,0.3227,0,0,0,0,0,0.6306,0.0618,0.103,0.1442,0.1027,0,0,0,0,0,0.0128,0.0036,0.0101,0.0198,0.0173,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,"Switch",8,"y","n","y","LF","8","2","8"
"382","CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,10,0.025532,0.02537,88.5983,23.2464,73.0308,2.6238,6.48,15,88.5983,23.2464,73.0308,2.6238,6.48,15,0,0,0,0,0,0,0,0,0,0,0,0,10,5.0942,0.1411,0.1411,0.1411,66.0391,0.6189,0.6189,0.6189,0.6189,14.5659,0.41,0.0332,0.0554,0.0776,42.2839,0.5347,0.6319,0.7292,0.8264,27.4485,0.1305,0.0106,0.0176,0.0247,13.4594,0.1702,0.2012,0.2321,0.263,8.7371,0.0026,6e-04,0.0017,0.0034,2.1547,0.0368,0.0513,0.0684,0.0878,4.1249,1,0,0,0,13,0,0,0,0,1,"Corn",2,"y","y","y","LF","10","2","10"
"384","CONSISTEST_T001_L012_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,12,0.025532,0.02537,12.2673,0.6593,2.0713,0.5375,0.049,3,12.2673,0.6593,2.0713,0.5375,0.049,3,0,0,0,0,0,0,0,0,0,0,0,0,10,9.1637,0.8951,0.8951,0.8951,0.4182,0,0,0,0,0,0.7496,0.2109,0.3515,0.4921,0.2672,0,0,0,0,0,0.2386,0.0671,0.1119,0.1566,0.085,0,0,0,0,0,0.0049,0.004,0.011,0.0215,0.0136,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Misc",5,"y","n","y","LF","12","2","12"
"390","CONSISTEST_T001_L018_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,18,0.025532,0.02537,34.6408,9.3489,29.3705,2.6988,3.133,4,34.6408,9.3489,29.3705,2.6988,3.133,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9.0723,0,0,0,12.8848,0.7772,0.7772,0.7772,2.5242,7.828,0.7254,0,0,0,8.2943,0.6714,0.7935,0.9156,3.2493,14.721,0.2309,0,0,0,2.6402,0.2137,0.2526,0.2914,1.0343,4.6858,0.0046,0,0,0,0.4252,0.0462,0.0645,0.0858,0.3329,2.2081,2,0,0,0,1,0,0,0,0,1,"Prairie",11,"y","n","y","LF","18","2","5"
"400","CONSISTEST_T001_L028_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,28,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",12,"y","y","n","LF","28","3","28"
"401","CONSISTEST_T001_L029_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,29,0.025532,0.02537,3.9265,1.1183,3.5131,2.848,0.281,2,3.9265,1.1183,3.5131,2.848,0.281,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2.3608,0,0,0,1.5657,0,0,0,0,0,1.5101,0,0,0,2.003,0,0,0,0,0,0.4807,0,0,0,0.6376,0,0,0,0,0,0.0769,0,0,0,0.2039,0,0,0,0,0,1,0,0,0,1,0,"Switch",9,"y","n","y","LF","29","3","29"
"406","CONSISTEST_T001_L034_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,34,0.025532,0.02537,11.7278,0.2985,0.9377,0.2545,0.006,3,11.7278,0.2985,0.9377,0.2545,0.006,3,0,0,0,0,0,0,0,0,0,0,0,0,10,11.7278,0,0,0,0,0,0,0,0,0,0.9377,0,0,0,0,0,0,0,0,0,0.2985,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Misc",5,"y","y","y","LF","34","2","12"
"408","CONSISTEST_T001_L036_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,36,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",3,"y","y","n","LF","36","3","36"
"412","CONSISTEST_T001_L040_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,40,0.025532,0.02537,18.7518,2.8965,9.0998,1.5447,0.437,2,18.7518,2.8965,9.0998,1.5447,0.437,2,0,0,0,0,0,0,0,0,0,0,0,0,10,4.6928,0.3714,0.3714,0.3714,12.9447,0,0,0,0,0,0.3823,0.0875,0.1458,0.2042,8.28,0,0,0,0,0,0.1217,0.0279,0.0464,0.065,2.6356,0,0,0,0,0,0.0025,0.0016,0.0046,0.0089,0.4215,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Misc",4,"y","y","y","LF","40","1","40"
"414","CONSISTEST_T001_L042_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,42,0.025532,0.02537,4.5221,1.1846,3.7214,2.6195,0.274,2,4.5221,1.1846,3.7214,2.6195,0.274,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3.2263,0,0,0,1.2958,0,0,0,0,0,2.0637,0,0,0,1.6577,0,0,0,0,0,0.6569,0,0,0,0.5277,0,0,0,0,0,0.105,0,0,0,0.1688,0,0,0,0,0,1,0,0,0,1,0,"Switch",9,"y","n","y","LF","42","3","29"
"415","CONSISTEST_T001_L043_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,43,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",6,"y","n","n","LF","43","3","43"
"416","CONSISTEST_T001_L044_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,44,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",12,"y","n","n","LF","44","3","28"
"422","CONSISTEST_T001_L050_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,50,0.025532,0.02537,18.6455,2.407,7.5619,1.2909,0.357,2,18.6455,2.407,7.5619,1.2909,0.357,2,0,0,0,0,0,0,0,0,0,0,0,0,10,7.7984,0,0,0,10.8471,0,0,0,0,0,0.6235,0,0,0,6.9384,0,0,0,0,0,0.1985,0,0,0,2.2086,0,0,0,0,0,0.004,0,0,0,0.3532,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Misc",4,"y","n","y","LF","50","1","40"
"427","CONSISTEST_T001_L055_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,55,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","LF","55","1","55"
"429","CONSISTEST_T001_L057_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,57,0.025532,0.02537,20.5301,0.5225,1.6415,0.2545,0.01,5,20.5301,0.5225,1.6415,0.2545,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0,10,20.5301,0,0,0,0,0,0,0,0,0,1.6415,0,0,0,0,0,0,0,0,0,0.5225,0,0,0,0,0,0,0,0,0,0.0104,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"Switch",8,"y","n","y","LF","57","2","8"
"431","CONSISTEST_T001_L059_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,59,0.025532,0.02537,23.316,0.5934,1.8643,0.2545,0.012,5,23.316,0.5934,1.8643,0.2545,0.012,5,0,0,0,0,0,0,0,0,0,0,0,0,10,23.316,0,0,0,0,0,0,0,0,0,1.8643,0,0,0,0,0,0,0,0,0,0.5934,0,0,0,0,0,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"Switch",8,"y","y","y","LF","59","2","8"
"433","CONSISTEST_T001_L061_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,61,0.025532,0.02537,30.5928,6.0207,18.9145,1.968,2.098,5,30.5928,6.0207,18.9145,1.968,2.098,5,0,0,0,0,0,0,0,0,0,0,0,0,10,17.734,0.4779,0.4779,0.4779,0.4779,0.4779,0.4779,0.4779,4.5068,5.0064,1.427,0.1126,0.1877,0.2628,0.3378,0.4129,0.488,0.5631,5.9553,9.1674,0.4542,0.0358,0.0597,0.0836,0.1075,0.1314,0.1553,0.1792,1.8956,2.9181,0.0092,0.0021,0.0059,0.0115,0.019,0.0284,0.0396,0.0528,0.6268,1.3442,4,0,0,0,0,0,0,0,0,1,"Prairie",11,"y","n","y","LF","61","2","5"
"437","CONSISTEST_T001_L065_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,65,0.025532,0.02537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","y","n","LF","65","1","55"
"439","CONSISTEST_T001_L067_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,67,0.025532,0.02537,86.4855,11.3425,35.6334,1.3115,3.484,12,86.4855,11.3425,35.6334,1.3115,3.484,12,0,0,0,0,0,0,0,0,0,0,0,0,10,61.071,0.0527,0.0527,0.0527,10.4829,1.1769,1.1769,1.1769,1.1769,10.0659,4.884,0.0124,0.0207,0.029,6.785,1.0167,1.2016,1.3865,1.5713,18.7262,1.5546,0.004,0.0066,0.0092,2.1597,0.3236,0.3825,0.4413,0.5002,5.9607,0.0311,2e-04,6e-04,0.0013,0.3499,0.0699,0.0976,0.13,0.167,2.7849,8,0,0,0,2,0,0,0,0,2,"Corn",2,"y","y","y","LF","67","2","10"
"442","CONSISTEST_T001_L070_2011.06.06_155541_001_CKB.jpg","6/15/2011","11:07:47",1,70,0.025532,0.02537,8.6626,1.1272,3.5412,1.3012,0.168,2,8.6626,1.1272,3.5412,1.3012,0.168,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3.5732,0,0,0,5.0894,0,0,0,0,0,0.2857,0,0,0,3.2555,0,0,0,0,0,0.0909,0,0,0,1.0362,0,0,0,0,0,0.0018,0,0,0,0.1657,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Misc",5,"y","n","y","LF","70","2","12"
